,track.uri,track.name,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,time_signature
47,2GYHyAoLWpkxLVa4oYTVko,Alors on danse - Radio Edit,0.0994,0.791,206067.0,0.59,0.00203,0.065,-9.206,0.0793,119.951,0.714,1.0,4.0
48,089vxHEH64AKLKhokNXEJx,Higher,0.00448,0.674,187667.0,0.916,7.05e-05,0.128,-5.015,0.0776,128.025,0.702,8.0,4.0
49,4356Typ82hUiFAynbLYbPn,DJ Got Us Fallin' In Love (feat. Pitbull),0.0338,0.663,220800.0,0.861,0.0,0.082,-3.398,0.109,119.963,0.654,7.0,4.0
50,2CEgGE6aESpnmtfiZwYlbV,Dynamite,0.00379,0.751,202613.0,0.783,0.0,0.036,-3.724,0.0859,119.975,0.816,4.0,4.0
51,5pmL3RzOy3IvGFaSDi4hZL,Hangover,0.00872,0.606,244907.0,0.883,0.0,0.0698,-3.243,0.0423,128.053,0.608,3.0,4.0
52,4x7FBsQScj0K6QkM9yWgjc,Hot Summer Night (Oh La La La),0.0102,0.701,214627.0,0.809,0.00428,0.155,-5.651,0.0287,127.01,0.782,5.0,4.0
53,25G1PxpeoaaisKqcDRmlPR,Fiesta Loca - Radio Edit,0.0561,0.669,215493.0,0.936,0.00573,0.845,-3.811,0.0698,127.863,0.967,9.0,4.0
54,0FYUTxJZvvOVLopuhusqYC,Run The Show (feat. Busta Rhymes),0.0717,0.75,213133.0,0.877,0.000107,0.247,-4.134,0.0429,105.031,0.205,1.0,4.0
55,4DvhkX2ic4zWkQeWMwQ2qf,Like A G6,0.00676,0.435,216893.0,0.837,0.0,0.117,-8.126,0.449,124.913,0.778,3.0,4.0
56,4QNpBfC0zvjKqPJcyqBy9W,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",0.191,0.671,252307.0,0.939,0.0,0.298,-3.206,0.161,129.024,0.53,8.0,4.0
57,41kOdUYJOPwl8nAZr7dsts,Bumpy Ride,0.0548,0.704,225467.0,0.846,0.0,0.173,-4.458,0.0395,104.993,0.818,0.0,4.0
58,2cZrrQMjB63c0iIugYH9zS,Rain Over Me (feat. Marc Anthony),0.00416,0.61,231573.0,0.906,0.0,0.758,-2.117,0.0648,127.916,0.294,0.0,4.0
59,0aBKFfdyOD1Ttvgv0cfjjJ,More - RedOne Jimmy Joker Remix,0.00166,0.551,219987.0,0.893,0.0,0.348,-2.628,0.0543,125.083,0.794,7.0,4.0
60,1zZIGnXIcDKU8QIUkR20nK,She Doesn't Mind,0.000624,0.718,227787.0,0.776,5.3e-06,0.207,-5.208,0.0693,120.015,0.622,7.0,4.0
61,1r3myKmjWoOqRip99CmSj1,Don't Wanna Go Home,0.02,0.671,206080.0,0.808,0.0,0.134,-4.861,0.0652,121.956,0.637,2.0,4.0
62,60Qa4MfNC1dgVfuDF6rgMS,Troublemaker,0.141,0.688,220280.0,0.714,0.0,0.214,-4.48,0.0712,125.028,0.449,11.0,4.0
63,12HgZnRqGPwIZJD0gPsUor,Breathing,0.0114,0.557,234053.0,0.814,7.97e-05,0.345,-4.469,0.0872,127.969,0.616,10.0,4.0
64,4ked2EG729C35aJAsoCk9J,Ma Chérie - Remady Radio Edit,0.00368,0.621,207136.0,0.645,0.0,0.281,-6.93,0.123,127.974,0.409,8.0,3.0
65,76sWab9iC3vvk21aln8G8t,I'm Into You,0.0176,0.592,200133.0,0.747,0.0,0.0752,-4.439,0.138,83.929,0.698,8.0,4.0
66,6Avndj1UPQLwR2qqzDwZBc,Whine Up (feat. Elephant Man) - English Version,0.0526,0.817,205747.0,0.563,1.32e-06,0.154,-6.276,0.055,125.02,0.488,9.0,4.0
67,1mvZErZBp7WZT3HfGBykao,Cry for You,0.00133,0.767,209800.0,0.881,0.000139,0.0551,-3.988,0.0301,130.018,0.961,9.0,4.0
68,1pbHy9VBpSyZh56xuujZz0,In The Dark,0.00358,0.736,226227.0,0.823,0.000914,0.33,-4.231,0.0675,124.954,0.442,8.0,4.0
69,5DdDbJvoaT8fqQMJkiGg4T,Take Over Control (feat. Eva Simons) - Radio Edit,0.222,0.716,208620.0,0.807,0.0,0.0935,-3.621,0.108,130.004,0.61,0.0,4.0
70,6JOlNkT0QdHeZB0wPbI9IR,Turn Me On (feat. Nicki Minaj),0.0488,0.705,199680.0,0.794,0.0,0.575,-2.266,0.0593,127.961,0.412,8.0,4.0
71,2iJuuzV8P9Yz0VSurttIV5,Scream & Shout,0.019,0.772,283400.0,0.685,8.96e-05,0.131,-6.849,0.0696,130.033,0.501,5.0,4.0
72,01TuObJVd7owWchVRuQbQw,#thatPOWER,0.00112,0.797,279507.0,0.608,7.66e-05,0.0748,-6.096,0.0584,127.999,0.402,6.0,4.0
73,3nMb7ToWIxYvmaIG20z6ux,Tonight (I'm Fuckin' You),0.0294,0.648,232213.0,0.89,3.58e-06,0.116,-3.982,0.0523,125.953,0.321,0.0,4.0
74,12eMQUn2GzfsfsQLH53M19,Scream,0.00117,0.616,234693.0,0.862,0.0,0.179,-5.18,0.0973,127.992,0.569,7.0,4.0
75,77ePeF9L2QKvKrSsWpJXBF,Suave (Kiss Me) (feat. Mohombi & Pitbull),0.0351,0.732,222058.0,0.945,0.0,0.28,-4.056,0.137,127.949,0.636,10.0,4.0
76,6ebkx7Q5tTxrCxKq4GYj0Y,Club Can't Handle Me (feat. David Guetta),0.0283,0.616,234560.0,0.869,0.0,0.064,-3.911,0.0327,127.966,0.473,0.0,4.0
77,2WOg6FT27iLtN8wetk69nP,Dirty Dancer,0.00604,0.651,214453.0,0.939,0.0,0.139,-3.606,0.0774,133.05,0.733,11.0,4.0
78,62zFEHfAYl5kdHYOivj4BC,International Love (feat. Chris Brown),0.0124,0.67,227280.0,0.855,0.0,0.335,-3.035,0.0499,120.05,0.648,0.0,4.0
79,1RMRkCn07y2xtBip9DzwmC,Turn Up the Music,0.000238,0.594,227973.0,0.841,2.22e-06,0.156,-5.792,0.102,129.925,0.643,1.0,4.0
80,6YMPu36VGIknb8Ey1ohW3j,Loca (feat. Dizzee Rascal),0.186,0.8,193160.0,0.874,1.77e-05,0.0877,-3.955,0.0667,112.003,0.85,4.0,4.0
81,2xnoPV3NLescauc0ZJ1MDZ,Dance Again (feat. Pitbull),0.0159,0.792,237267.0,0.856,2.88e-06,0.0981,-5.236,0.067,127.988,0.714,11.0,4.0
