track.uri,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,time_signature,club_compatible
1jUmwOmrL3Ebr2xFNaPrUy,0.936,0.265,223027.0,0.137,0.00133,0.126,-12.375,0.0338,104.976,0.122,11.0,3.0,no
5QkzyLUb4ggojNDp8G2OxX,0.0053,0.544,376467.0,0.728,0.0,0.865,-5.838,0.0282,101.939,0.204,7.0,4.0,no
0YqQjaCInFvpF4GGIZdcuS,0.019,0.705,238160.0,0.828,7.1e-05,0.102,-4.998,0.298,124.972,0.57,9.0,4.0,no
7l1qvxWjxcKpB9PCtBuTbU,0.851,0.589,197470.0,0.389,0.0,0.0772,-5.972,0.028,89.1,0.501,0.0,4.0,no
4NirETfurhjh8U9Y1l5U1S,0.203,0.781,195507.0,0.824,0.0,0.389,-4.412,0.107,140.033,0.886,6.0,4.0,no
5DRBq6zgMQ9RzvtQNmy1p1,0.0072,0.691,186773.0,0.73,0.0108,0.114,-6.443,0.0311,121.98,0.699,2.0,4.0,no
1By2VQkUN0Frd8mKNV5NYC,0.0139,0.516,217160.0,0.917,6.37e-06,0.36,-3.186,0.0827,145.821,0.635,11.0,4.0,no
4XrP7vKBjKLEYlRZdb0Ygr,0.0606,0.601,200560.0,0.852,3.41e-06,0.37,-3.096,0.0386,100.015,0.513,7.0,4.0,no
1VamVbzor0Smijv05ihcZf,0.00153,0.569,207085.0,0.989,0.00432,0.338,-5.144,0.0435,141.945,0.437,0.0,4.0,no
7KgOL7OqRA6mMNC0948KZT,0.0135,0.572,214687.0,0.927,0.0,0.077,-3.601,0.0437,127.995,0.651,3.0,4.0,no
2cUhrlOojOY0KjTzWXOmnB,0.0383,0.667,224627.0,0.999,0.0,0.179,-3.649,0.0678,138.04,0.667,2.0,4.0,no
4SFn755Crb3Vj1EtYdxGUI,0.000238,0.66,648600.0,0.432,0.946,0.0435,-11.62,0.0533,128.001,0.289,10.0,4.0,no
0HasfWMrNxTjycDy9TkRtA,0.0993,0.555,228347.0,0.814,3.7e-06,0.128,-3.927,0.0303,140.081,0.523,5.0,4.0,no
6A063805NaFccWCCgglkk9,0.00835,0.314,365827.0,0.962,0.0,0.834,-4.424,0.177,184.659,0.202,2.0,4.0,no
47O3tPbUuiNMwdzYGUUrxk,0.00474,0.708,395833.0,0.767,0.75,0.0623,-10.503,0.0465,139.969,0.469,8.0,4.0,no
6vVBwOqsm2qOhL8ewESBBu,0.0108,0.755,168793.0,0.993,0.000311,0.178,-6.435,0.184,133.947,0.488,8.0,4.0,no
1rD9RLy9j04nRwEDH369Ek,0.488,0.871,163200.0,0.732,0.0,0.0866,-3.695,0.0353,125.041,0.865,2.0,4.0,no
161DnLWsx1i3u1JT05lzqU,0.511,0.498,217867.0,0.59,0.0,0.107,-4.721,0.032,145.867,0.0784,1.0,4.0,no
1eBy2KT2e5CodnhUECbuN8,0.12,0.675,183693.0,0.885,6.22e-06,0.203,-3.557,0.0487,97.979,0.808,11.0,4.0,no
4DbI1rr4IQ2bc8nejy9ttd,0.0157,0.521,404680.0,0.386,0.0,0.884,-8.784,0.0301,119.518,0.138,4.0,3.0,no
7Hg27Pwfh9iTgHUdGS5rTx,0.0508,0.465,319747.0,0.82,0.0211,0.0608,-6.264,0.114,127.005,0.614,0.0,4.0,no
6MQzpmuhmsxG389shOCDQs,0.0334,0.61,472573.0,0.787,0.00442,0.976,-9.674,0.0402,108.322,0.147,1.0,4.0,no
6VxrZo2iyYna1IGOITY4kN,0.00543,0.665,238813.0,0.827,2.29e-05,0.104,-4.932,0.0324,90.037,0.386,5.0,4.0,no
7FKUcBsRrdbVhRoNR2hJuo,6.06e-05,0.672,185200.0,0.86,0.00333,0.138,-4.054,0.0515,124.997,0.867,6.0,4.0,no
2XbXvTDFVCUTg4K2EifdpG,0.00629,0.693,215110.0,0.803,0.0,0.0645,-5.811,0.0967,127.026,0.816,2.0,4.0,no
7MoKXLQeI0Bh2QodCjDO4K,0.0263,0.766,230640.0,0.563,0.683,0.115,-7.516,0.0339,126.007,0.964,9.0,4.0,no
2bnDTGikdoO8CwzlAPyBHR,0.00325,0.665,319293.0,0.878,0.0,0.0663,-4.745,0.206,93.047,0.394,6.0,4.0,no
4hYFhNXRMHoD3lyHwVCWfT,0.0086,0.708,220640.0,0.471,0.00839,0.179,-7.667,0.0354,125.019,0.356,9.0,4.0,no
